Description,Class
Natural Gas Supply - Chemical Storage October,Heating
Municipal Water - Cooling Tower Monthly Invoice,Water
Heating Service - Drying Ovens February,Heating
Kwh Usage - Production Line 3 (December),Electricity
Power Consumption - Production Line 3 (Q3),Electricity
Hazardous Waste Pickup - Pallet Disposal Weekly Service,Waste Disposal
Heating Service - Manufacturing Area Monthly,Heating
Scrap Metal Hauling - Solvent Waste Monthly Fee,Waste Disposal
Gas Consumption - Warehouse Winter Season,Heating
Grid Charge - Corporate Office (Monthly),Electricity
Electricity Supply - North Warehouse (Q3),Electricity
Refuse Collection - Recyclable Materials Container Emptying,Waste Disposal
Fuel Oil Delivery - Boiler Room Q4,Heating
Utility Water Bill - Production Site Meter Reading,Water
Hazardous Waste Pickup - Solvent Waste Container Emptying,Waste Disposal
Electricity Supply - Data Center (Quarterly),Electricity
Propane Purchase - Office Building 2 February,Heating
Heating Service - Chemical Storage October,Heating
Gas Consumption - Boiler Room Peak Demand,Heating
H2O Billing - Laboratory Monthly Invoice,Water
Electrical Service - Production Line 3 (December),Electricity
Waste Disposal - Recyclable Materials Monthly Fee,Waste Disposal
Water Supply - Fire Sprinklers Meter Reading,Water
Waste Disposal - Recyclable Materials Q1,Waste Disposal
Propane Purchase - Office Building 2 Gas Meter Reading,Heating
Utility Water Bill - Production Site Annual Fee,Water
Power Consumption - Main Plant (Q1),Electricity
Kwh Usage - R&D Lab (Semi-Annual),Electricity
Municipal Water - Fire Sprinklers Q3,Water
Municipal Water - Cooling Tower Q2,Water
H2O Billing - Production Site Annual Fee,Water
Scrap Metal Hauling - Industrial Debris Weekly Service,Waste Disposal
Electrical Service - Production Line 3 (Monthly),Electricity
Utility Water Bill - Production Site Monthly Invoice,Water
Scrap Metal Hauling - Solvent Waste Weekly Service,Waste Disposal
Gas Consumption - Boiler Room Peak Demand,Heating
Fuel Oil Delivery - Drying Ovens October,Heating
Waste Disposal - Solvent Waste Container Emptying,Waste Disposal
Hazardous Waste Pickup - Industrial Debris Q1,Waste Disposal
Propane Purchase - Manufacturing Area October,Heating
Refuse Collection - General Refuse Q1,Waste Disposal
Electrical Service - Packaging Facility (Q3),Electricity
Grid Charge - North Warehouse (Q3),Electricity
Municipal Water - Irrigation System April,Water
Electricity Supply - North Warehouse (Quarterly),Electricity
Power Consumption - Data Center (Q1),Electricity
Gas Consumption - Office Building 2 Monthly,Heating
Heating Service - Office Building 2 Monthly,Heating
Propane Purchase - Warehouse Gas Meter Reading,Heating
Refuse Collection - Solvent Waste Container Emptying,Waste Disposal
Propane Purchase - Drying Ovens Winter Season,Heating
Electricity Supply - Corporate Office (Monthly),Electricity
Refuse Collection - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Chemical Waste Removal - Industrial Debris Container Emptying,Waste Disposal
Grid Charge - Data Center (Q1),Electricity
Hazardous Waste Pickup - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Heating Service - Warehouse Winter Season,Heating
Power Consumption - R&D Lab (Q1),Electricity
Water Supply - Cooling Tower Q3,Water
Power Consumption - Packaging Facility (January),Electricity
H2O Billing - Admin Block Monthly Invoice,Water
Fuel Oil Delivery - Boiler Room Winter Season,Heating
Fuel Oil Delivery - Manufacturing Area February,Heating
Electricity Supply - Production Line 3 (December),Electricity
Municipal Water - Irrigation System July,Water
Heating Service - Warehouse February,Heating
H2O Billing - Cooling Tower April,Water
Electrical Service - R&D Lab (Semi-Annual),Electricity
Utility Water Bill - Admin Block Annual Fee,Water
Heating Service - Drying Ovens Monthly,Heating
Chemical Waste Removal - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Power Consumption - R&D Lab (Semi-Annual),Electricity
Hazardous Waste Pickup - Industrial Debris Q1,Waste Disposal
Electrical Service - R&D Lab (January),Electricity
Fuel Oil Delivery - Warehouse Q4,Heating
Power Consumption - Packaging Facility (Year-End),Electricity
Kwh Usage - Packaging Facility (January),Electricity
Waste Disposal - Recyclable Materials Weekly Service,Waste Disposal
Waste Disposal - Industrial Debris Weekly Service,Waste Disposal
H2O Billing - Irrigation System Q3,Water
Power Consumption - R&D Lab (Quarterly),Electricity
Chemical Waste Removal - Solvent Waste Q1,Waste Disposal
Scrap Metal Hauling - Solvent Waste Container Emptying,Waste Disposal
Electrical Service - Data Center (January),Electricity
H2O Billing - Fire Sprinklers Q2,Water
Scrap Metal Hauling - Solvent Waste Container Emptying,Waste Disposal
Refuse Collection - General Refuse Weekly Service,Waste Disposal
Chemical Waste Removal - Industrial Debris Monthly Fee,Waste Disposal
Power Consumption - Corporate Office (December),Electricity
Fuel Oil Delivery - Office Building 2 Q4,Heating
Waste Disposal - Industrial Debris Monthly Fee,Waste Disposal
Grid Charge - R&D Lab (December),Electricity
Natural Gas Supply - Drying Ovens Gas Meter Reading,Heating
Propane Purchase - Boiler Room Monthly,Heating
Heating Service - Office Building 2 October,Heating
Electrical Service - North Warehouse (Semi-Annual),Electricity
Refuse Collection - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Municipal Water - Irrigation System April,Water
Waste Disposal - General Refuse Weekly Service,Waste Disposal
Waste Disposal - Pallet Disposal Q1,Waste Disposal
Water Charges - Laboratory Q3,Water
Water Charges - Irrigation System Q2,Water
Utility Water Bill - Admin Block Q2,Water
Heating Service - Chemical Storage October,Heating
Refuse Collection - General Refuse Monthly Fee,Waste Disposal
Kwh Usage - Data Center (Q1),Electricity
Propane Purchase - Manufacturing Area October,Heating
Municipal Water - Irrigation System Q3,Water
H2O Billing - Cooling Tower Q2,Water
Propane Purchase - Manufacturing Area Peak Demand,Heating
Grid Charge - R&D Lab (January),Electricity
Water Supply - Cooling Tower April,Water
Chemical Waste Removal - General Refuse Weekly Service,Waste Disposal
Grid Charge - Packaging Facility (Year-End),Electricity
H2O Billing - Fire Sprinklers Annual Fee,Water
Gas Consumption - Drying Ovens Gas Meter Reading,Heating
Water Charges - Laboratory Annual Fee,Water
Natural Gas Supply - Drying Ovens Monthly,Heating
Natural Gas Supply - Drying Ovens October,Heating
Waste Disposal - Recyclable Materials Weekly Service,Waste Disposal
Scrap Metal Hauling - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Water Charges - Fire Sprinklers Annual Fee,Water
Hazardous Waste Pickup - General Refuse Bi-Weekly Pickup,Waste Disposal
Chemical Waste Removal - Solvent Waste Container Emptying,Waste Disposal
Natural Gas Supply - Office Building 2 Gas Meter Reading,Heating
Electrical Service - Production Line 3 (December),Electricity
H2O Billing - Production Site Q3,Water
Utility Water Bill - Admin Block Annual Fee,Water
Refuse Collection - Pallet Disposal Container Emptying,Waste Disposal
Electricity Supply - Production Line 3 (January),Electricity
Hazardous Waste Pickup - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Power Consumption - North Warehouse (December),Electricity
Heating Service - Drying Ovens Q4,Heating
Water Charges - Laboratory Q3,Water
Electricity Supply - North Warehouse (January),Electricity
Refuse Collection - Pallet Disposal Monthly Fee,Waste Disposal
H2O Billing - Fire Sprinklers Q2,Water
Power Consumption - North Warehouse (December),Electricity
Water Charges - Production Site Meter Reading,Water
Scrap Metal Hauling - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Chemical Waste Removal - Industrial Debris Monthly Fee,Waste Disposal
Power Consumption - North Warehouse (Semi-Annual),Electricity
Heating Service - Chemical Storage Q4,Heating
Utility Water Bill - Admin Block Monthly Invoice,Water
Grid Charge - Packaging Facility (Semi-Annual),Electricity
Water Charges - Cooling Tower April,Water
Kwh Usage - R&D Lab (Monthly),Electricity
H2O Billing - Admin Block Meter Reading,Water
H2O Billing - Fire Sprinklers Annual Fee,Water
Natural Gas Supply - Chemical Storage Winter Season,Heating
Grid Charge - R&D Lab (January),Electricity
Propane Purchase - Office Building 2 Gas Meter Reading,Heating
Waste Disposal - General Refuse Bi-Weekly Pickup,Waste Disposal
Grid Charge - Main Plant (Quarterly),Electricity
Hazardous Waste Pickup - Pallet Disposal Monthly Fee,Waste Disposal
Natural Gas Supply - Warehouse October,Heating
Water Supply - Admin Block July,Water
Utility Water Bill - Admin Block Meter Reading,Water
Water Supply - Fire Sprinklers Monthly Invoice,Water
Gas Consumption - Manufacturing Area Q4,Heating
Chemical Waste Removal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Utility Water Bill - Fire Sprinklers Meter Reading,Water
Utility Water Bill - Laboratory April,Water
Scrap Metal Hauling - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Refuse Collection - General Refuse Weekly Service,Waste Disposal
Utility Water Bill - Cooling Tower Q3,Water
Gas Consumption - Warehouse Winter Season,Heating
Propane Purchase - Drying Ovens February,Heating
Water Charges - Production Site Meter Reading,Water
Heating Service - Chemical Storage Peak Demand,Heating
Natural Gas Supply - Office Building 2 Peak Demand,Heating
Waste Disposal - General Refuse Container Emptying,Waste Disposal
Utility Water Bill - Production Site Annual Fee,Water
Water Charges - Cooling Tower Q2,Water
Fuel Oil Delivery - Warehouse Gas Meter Reading,Heating
Utility Water Bill - Irrigation System Q2,Water
Water Supply - Production Site July,Water
Water Charges - Admin Block Monthly Invoice,Water
Water Supply - Laboratory April,Water
Water Charges - Fire Sprinklers Meter Reading,Water
Grid Charge - North Warehouse (Q1),Electricity
Heating Service - Office Building 2 Q4,Heating
Electrical Service - North Warehouse (Year-End),Electricity
Kwh Usage - Packaging Facility (Q3),Electricity
Chemical Waste Removal - Solvent Waste Q1,Waste Disposal
Natural Gas Supply - Office Building 2 October,Heating
Municipal Water - Fire Sprinklers July,Water
Hazardous Waste Pickup - Recyclable Materials Monthly Fee,Waste Disposal
Water Charges - Laboratory Monthly Invoice,Water
Kwh Usage - Data Center (January),Electricity
Kwh Usage - R&D Lab (Q3),Electricity
Electrical Service - Corporate Office (Quarterly),Electricity
Heating Service - Chemical Storage Peak Demand,Heating
Municipal Water - Laboratory Q3,Water
Power Consumption - Packaging Facility (Year-End),Electricity
Electrical Service - Corporate Office (Semi-Annual),Electricity
Natural Gas Supply - Manufacturing Area Monthly,Heating
Heating Service - Manufacturing Area Q4,Heating
Heating Service - Warehouse Monthly,Heating
Kwh Usage - Data Center (January),Electricity
Fuel Oil Delivery - Chemical Storage October,Heating
Refuse Collection - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Fuel Oil Delivery - Manufacturing Area Monthly,Heating
Natural Gas Supply - Chemical Storage Peak Demand,Heating
Chemical Waste Removal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Refuse Collection - Pallet Disposal Weekly Service,Waste Disposal
Gas Consumption - Chemical Storage February,Heating
Chemical Waste Removal - Pallet Disposal Monthly Fee,Waste Disposal
Hazardous Waste Pickup - Industrial Debris Q1,Waste Disposal
Hazardous Waste Pickup - Industrial Debris Weekly Service,Waste Disposal
Municipal Water - Laboratory Q2,Water
Waste Disposal - Pallet Disposal Monthly Fee,Waste Disposal
Municipal Water - Production Site Q3,Water
Hazardous Waste Pickup - Pallet Disposal Monthly Fee,Waste Disposal
Hazardous Waste Pickup - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Fuel Oil Delivery - Chemical Storage Peak Demand,Heating
Municipal Water - Production Site Q2,Water
Hazardous Waste Pickup - Solvent Waste Container Emptying,Waste Disposal
Grid Charge - Main Plant (Monthly),Electricity
Scrap Metal Hauling - Recyclable Materials Weekly Service,Waste Disposal
Utility Water Bill - Fire Sprinklers Q2,Water
Electricity Supply - Corporate Office (Year-End),Electricity
Municipal Water - Admin Block April,Water
Chemical Waste Removal - General Refuse Q1,Waste Disposal
Heating Service - Manufacturing Area Q4,Heating
Kwh Usage - Corporate Office (Q3),Electricity
Chemical Waste Removal - Recyclable Materials Weekly Service,Waste Disposal
Electricity Supply - R&D Lab (Q3),Electricity
Power Consumption - Data Center (Q1),Electricity
Water Charges - Irrigation System Q3,Water
Refuse Collection - General Refuse Container Emptying,Waste Disposal
Grid Charge - Data Center (December),Electricity
Municipal Water - Cooling Tower Annual Fee,Water
Waste Disposal - Pallet Disposal Container Emptying,Waste Disposal
H2O Billing - Cooling Tower Q2,Water
Municipal Water - Cooling Tower Monthly Invoice,Water
Hazardous Waste Pickup - Solvent Waste Monthly Fee,Waste Disposal
Power Consumption - Main Plant (Q1),Electricity
Electrical Service - North Warehouse (Monthly),Electricity
Power Consumption - Main Plant (January),Electricity
Gas Consumption - Drying Ovens Winter Season,Heating
Grid Charge - North Warehouse (December),Electricity
Water Supply - Admin Block July,Water
Power Consumption - Data Center (Semi-Annual),Electricity
H2O Billing - Irrigation System Annual Fee,Water
H2O Billing - Laboratory July,Water
Propane Purchase - Manufacturing Area Winter Season,Heating
Grid Charge - Production Line 3 (Quarterly),Electricity
Hazardous Waste Pickup - General Refuse Container Emptying,Waste Disposal
Fuel Oil Delivery - Boiler Room October,Heating
Electricity Supply - Main Plant (Semi-Annual),Electricity
Natural Gas Supply - Drying Ovens Winter Season,Heating
Kwh Usage - Production Line 3 (Semi-Annual),Electricity
Fuel Oil Delivery - Manufacturing Area Gas Meter Reading,Heating
Scrap Metal Hauling - Solvent Waste Container Emptying,Waste Disposal
Fuel Oil Delivery - Chemical Storage October,Heating
Propane Purchase - Boiler Room Peak Demand,Heating
Fuel Oil Delivery - Warehouse October,Heating
Utility Water Bill - Production Site Meter Reading,Water
Electrical Service - Data Center (Quarterly),Electricity
Heating Service - Chemical Storage October,Heating
Scrap Metal Hauling - Industrial Debris Weekly Service,Waste Disposal
Utility Water Bill - Production Site Q3,Water
Utility Water Bill - Cooling Tower July,Water
Kwh Usage - Corporate Office (Quarterly),Electricity
Waste Disposal - Pallet Disposal Q1,Waste Disposal
Water Charges - Irrigation System July,Water
Scrap Metal Hauling - General Refuse Q1,Waste Disposal
Municipal Water - Production Site Q3,Water
Refuse Collection - General Refuse Container Emptying,Waste Disposal
Electrical Service - Corporate Office (Monthly),Electricity
Water Charges - Production Site April,Water
Natural Gas Supply - Manufacturing Area October,Heating
Electricity Supply - Data Center (January),Electricity
Natural Gas Supply - Office Building 2 Winter Season,Heating
Grid Charge - Corporate Office (Q1),Electricity
Municipal Water - Production Site Monthly Invoice,Water
Heating Service - Warehouse February,Heating
Kwh Usage - Production Line 3 (December),Electricity
